skuErp;skuSite;descricao
10007;10007-001-U;Puxador Sobrepor Pv22 128mm Dourado - Torralba - 128MM
10008;10008-001-U;Puxador Alça Elemento P Dourado - Zen Design - P
10012;10012-001-U;Puxador Alça Ken 32MM Dourado - Zen Design - 32MM
10014;10014-001-U;Puxador Sobrepor Pv22 32mm Dourado - Torralba - 32MM
10016;10016-001-U;Puxador Ponto Hund Couro Preto Cromado - Torralba - Ponto
10018;10018-001-U;Puxador Ponto Hund Couro Marrom Niquel Escovado - Torralba - Ponto
10021;10021-001-U;Puxador Ponto Beetle Com Base Granada Rose - Zen Design - Ponto
10022;10022-001-U;Puxador Sobrepor Citizen G Reto Preto - Zen Design - G
10025;10025-001-U;Puxador Ponto Hund Couro Preto Niquel Escovado - Torralba - Ponto
10027;10027-001-U;Puxador Ponto Hund Couro Cobre Níquel Escovado - Torralba - Ponto
10030;10030-001-U;Puxador Ponto Cup Bronze - Zen Design - Ponto
10038;10038-001-U;Puxador Alça Ken 416mm Preto - Zen Design - 416MM
10042;10042-001-U;Puxador Ponto Sheer Preto - Zen Design - Ponto
10043;10043-001-U;Puxador Concha Grenade 64mm 1753 Preto Fosco - Torralba - 64MM
10044;10044-001-U;Puxador Sobrepor Pv14 160MM Dourado - Torralba - 160MM
10045;10045-001-U;Puxador Alça Oriente 448mm Couro Marrom Cromado - Zen Design - 448MM
10046;10046-001-U;Puxador Ponto Terra 45MM Gold Opaco - Jador - Ponto
10047;10047-001-U;Puxador Alça Grenade 64mm Preto Fosco - Torralba - 64MM
10048;10048-001-U;Puxador Alça Sorento Liso 96MM Bronze - Zen Design - 96MM
10058;10058-001-U;Puxador Ponto Acqua 38x38 Cromado - Zen Design - Ponto
10059;10059-001-U;Puxador Ponto Orion 33x20MM Cromo Escovado - Zen Design - 33X20MM
10064;10064-001-U;Puxador Alça  Archive 128MM Cromado - Zen Design - 128MM
10085;10085-001-U;Puxador Alça Oeiras 128mm Dourado - Torralba - 128MM
10086;10086-001-U;Puxador Ponto Disk P Cromo - Zen Design - P
10087;10087-001-U;Puxador Alça Ken 192mm Cromo - Zen Design - 192MM
10088;10088-001-U;Puxador Alça Ken 320mm Cromo - Zen Design - 320MM
10091;10091-001-U;Puxador Alça Montero 192mm Dourado - Torralba - 192MM
10092;10092-001-U;Puxador Concha Plymouth Cromado - Zen Design - 80MM
10095;10095-001-U;Puxador Ponto Radio G Cromo - Zen Design - G
10096;10096-001-U;Puxador Ponto Radio M Cromo - Zen Design - M
10097;10097-001-U;Puxador Ponto Radio P Cromo Com Base - Zen Design - P
10100;10100-001-U;Puxador Concha Shell 64mm Cromo - Zen Design - 64MM
10102;10102-001-U;Puxador Alça Piaui 352mm Preto Fosco - Torralba - 352MM
10106;10106-001-U;Puxador Alça Oeiras 128mm Preto Fosco - Torralba - 128MM
10107;10107-001-U;Puxador Ponto Bali Granado Níquel Velho - Zen Design - Ponto
10108;10108-001-U;Puxador Ponto Dharma 48MM Dourado - Zen Design - Ponto
10109;10109-001-U;Puxador Sobrepor Citizen 45 Graus G Bronze - Zen Design - G
10115;10115-001-U;Puxador Ponto Ball di Cristallo 20MM Cromado - Jador - Ponto
10116;10116-001-U;Puxador Ponto Avelã G Preto Fosco - Torralba - G
10125;10125-001-U;Puxador Alça Manico di Cotello Gold Escovado - Zen Design - 160MM
10132;10132-001-U;Puxador Concha Shell 64mm Dourado - Zen Design - 64MM
10134;10134-001-U;Puxador Ponto Cup Níquel Velho - Zen Design - Ponto
10137;10137-001-U;Puxador Alça Santa Fé Cruzado 128MM Dourado - Zen Design - 128MM
10138;10138-001-U;Puxador Alça Santa Fé Cruzado 192MM Dourado - Zen Design - 192MM
10140;10140-001-U;Puxador Alça Santa Fé Cruzado 320MM Dourado - Zen Design - 320MM
10142;10142-001-U;Puxador Ponto Soft  P Preto Fosco - Torralba - P
10144;10144-001-U;Puxador Ponto Radio Mini Gold - Zen Design - MINI
10149;10149-001-U;Puxador Ponto Beetle Com Base Granada Gold - Zen Design - Ponto
10153;10153-001-U;Puxador Concha Plymouth Gold Escovado - Zen Design - 80MM
10155;10155-001-U;Puxador Para Portas Amalfi Duplo 400MM Dourado -Torralba - Único
10156;10156-001-U;Puxador Alça Estrela 384MM Gold Opaco - Jador - 384MM
10159;10159-001-U;Puxador Alça Montero 256mm Preto Fosco - Torralba - 256MM
10165;10165-001-U;Puxador Ponto Disk G Cromo - Zen Design - Ponto
10168;10168-001-U;Puxador Pra Portas Amalfi Duplo 300mm Dourado -Torralba - Único
10169;10169-001-U;Puxador Ponto Mini Afro Dourado - Zen Design - MINI
10177;10177-001-U;Puxador Ponto Afro Dourado - Zen Design - Ponto
10179;10179-001-U;Puxador Sobrepor Pv18 32MM Dourado - Torralba - 32MM
10180;10180-001-U;Puxador Embutir Dietro Branco -Zen Design - Único
10181;10181-001-U;Puxador Alça Elemento P Gold Escovado - Zen Design - P
10182;10182-001-U;Puxador Alça Grenade 128mm Preto Fosco - Torralba - 128MM
10183;10183-001-U;Puxador Ponto Sorento Liso Dourado - Zen - Ponto
10184;10184-001-U;Puxador Alça Sorento Granado 320mm Dourado - Zen Design - 320MM
10188;10188-001-U;Puxador Ponto Cup Gold - Zen Design - Ponto
10190;10190-001-U;Puxador Alça Ken 128mm Cromo - Zen Design - 128MM
10191;10191-001-U;Puxador Alça Nord 160MM Gold - Zen Design - 160MM
10193;10193-001-U;Puxador Ponto Orion 55x27MM Gold - Zen Design - 55X27MM
10194;10194-001-U;Puxador Concha Shell 64mm Gold - Zen Design - 64MM
10195;10195-001-U;Puxador Ponto Radio P Gold Com Base - Zen Design - P
10196;10196-001-U;Puxador Alça Sorento Liso 320mm Gold - Zen Design - 320MM
10201;10201-001-U;Puxador Alça Creta 64MM Gold Escovado - Zen Design - 64MM
10202;10202-001-U;Puxador Concha Aniela 64mm Preto Fosco - Torralba - 64MM
10205;10205-001-U;Puxador Ponto Jalapa Redondo P Preto Fosco - Torralba - P
10207;10207-001-U;Puxador Ponto Disk G Gold Escovado - Zen Design - G
10209;10209-001-U;Puxador Alça Piaui 128mm Cromado - Torralba - 128MM
10213;10213-001-U;Puxador Alça Montero 256mm Dourado - Torralba - 256MM
10214;10214-001-U;Puxador Alça Ken Granado 128mm Gold Escovado - Zen Design - 128MM
10222;10222-001-U;Puxador Sobrepor Pv14 Preto Fosco - Torralba - 160MM
10223;10223-001-U;Puxador Ponto Radio M Gold - Zen Design - M
10224;10224-001-U;Puxador Alça Sorento Liso 320MM Cromado - Zen Design - 320MM
10227;10227-001-U;Puxador Sobrepor Pv18 Preto Fosco - Torralba - 32MM
10228;10228-001-U;Puxador Sobrepor Pv22 32mm Preto Fosco - Torralba - 32MM
10230;10230-001-U;Puxador Alça Ken Granado 320mm Gold Escovado - Zen Design - 320MM
10231;10231-001-U;Puxador Concha Plymouth Rose Escovado - Zen Design - 80MM
10232;10232-001-U;Puxador Alça Ken Granado 192mm Gold Escovado - Zen Design - 192MM
10233;10233-001-U;Puxador Alça Nord 160MM Gold Escovado - Zen Design - 160MM
10234;10234-001-U;Puxador Ponto Radio P Dourado Com Base - Zen Design - P
10235;10235-001-U;Puxador Ponto Orion 55x27MM Gold Escovado - Zen Design - 55X27MM
10240;10240-001-U;Puxador Alça Versalhes 320MM Dourado Matte - Zen Design - 320MM
10241;10241-001-U;Puxador Ponto Fune Couro Marrom Branco - Zen Design - Ponto
10245;10245-001-U;Puxador Sobrepor Pv33 160mm Dourado - Torralba - 160MM
10248;10248-001-U;Puxador Alça Phenix 320MM Gold - Zen Design - 320MM
10254;10254-001-U;Puxador Concha Shell 64mm Níquel Escovado - Zen Design - 64MM
10259;10259-001-U;Puxador Ponto Radio G Gold Escovado - Zen Design - G
10260;10260-001-U;Puxador Sobrepor Pv33 64mm Preto Fosco - Torralba - 64MM
10263;10263-001-U;Puxador Ponto Grenade 1764 Níquel Escovado - Torralba - Ponto
10267;10267-001-U;Puxador Ponto Cup Gold Escovado - Zen Design - Ponto
